Fecha,Julian_days,TMAX,TMIN,Prec
2025-09-04,247,9,-4,0.0
2025-09-05,248,11,-4,0.0
2025-09-06,249,15,-2,0.0
2025-09-07,250,15,1,0.0
2025-09-08,251,19,2,0.0
2025-09-09,252,20,2,0.0
2025-09-10,253,20,6,0.8
2025-09-11,254,20,3,0.0
2025-09-12,255,22,6,0.0
2025-09-13,256,20,7,0.0
2025-09-14,257,19,2,0.0
2025-09-15,258,22,4,0.0
2025-09-16,259,23,8,0.0
2025-09-17,260,23,11,0.1
2025-09-18,261,24,12,6.0
2025-09-19,262,20,12,15.3
2025-09-20,263,14,7,30.8
2025-09-21,264,14,5,3.6
2025-09-22,265,14,4,0.0
2025-09-23,266,14,3,0.0
2025-09-24,267,15,-1,0.0
2025-09-25,268,19,3,0.0
2025-09-26,269,14,5,21.0
2025-09-27,270,17,6,1.4
2025-09-28,271,22,4,0.0
2025-09-29,272,13,7,1.2
2025-09-30,273,19,4,0.0
2025-10-01,274,24,6,0.0
2025-10-02,275,26,8,0.0
2025-10-03,276,26,10,0.0
2025-10-04,277,19,10,2.9
2025-10-05,278,11,5,0.2
2025-10-06,279,15,0,1.1
2025-10-07,280,21,4,0.0
2025-10-08,281,25,6,0.0
2025-10-09,282,28,9,0.0
2025-10-10,283,25,9,0.0
2025-10-11,284,18,9,25.6
2025-10-12,285,18,5,0.1
2025-10-13,286,23,5,0.0
2025-10-14,287,25,5,0.0
2025-10-15,288,21,11,3.0
2025-10-16,289,22,6,0.0
2025-10-17,290,21,5,0.0
2025-10-18,291,21,2,0.0
2025-10-19,292,23,6,0.0
